46,80,46
46,80,46
48,82,49
54,82,49
52,82,50
54,82,48
52,82,48
50,81,44
55,82,44
54,83,46
55,82,44
53,82,38
57,82,40
50,86,42
54,86,43
60,84,44
58,87,42
58,84,37
58,84,42
55,84,39
58,84,41
60,86,44
55,85,40
54,74,40
54,64,37
51,66,39
54,70,43
53,74,46
62,82,41
56,84,38
52,86,43
50,85,40
52,84,44
49,82,41
54,80,42
50,82,44
54,79,44
56,71,41
60,68,41
56,74,46
56,77,42
66,79,44
59,82,44
60,84,58
58,85,66
64,86,46
64,85,42
62,85,45
58,84,42
57,84,48
54,85,48
52,84,52
55,84,45
56,86,45
56,84,42
58,82,40
60,82,42
60,82,45
57,83,48
61,82,49
58,80,42
57,82,44
62,84,48
62,84,51
62,87,53
62,86,56
60,88,57
55,88,62
60,88,46
66,86,42
58,87,40
56,88,42
58,87,44
58,88,42
54,88,48
56,89,47
63,88,56
58,88,58
59,88,60
60,89,59
58,89,50
56,90,52
56,90,55
56,92,44
58,89,46
58,86,48
59,84,52
56,86,55
55,86,55
53,85,58
54,88,58
53,88,56
61,87,50
60,89,56
60,90,61
63,90,52
68,92,56
66,90,60
62,89,62
60,90,62
58,92,64
62,93,54
58,92,50
60,92,58
57,92,59
58,92,62
70,92,60
70,91,67
68,92,69
66,90,62
62,90,58
66,90,62
60,92,64
57,92,64
60,92,60
56,92,64
55,92,67
58,92,66
62,92,57
60,92,62
66,84,60
68,86,65
63,90,62
63,91,69
62,90,72
64,92,72
60,93,66
62,94,69
62,93,72
63,93,66
63,93,66
62,93,70
63,94,72
66,92,70
70,90,68
65,90,64
66,88,65
73,88,64
70,88,68
64,91,68
58,88,63
64,88,67
60,88,74
65,88,73
66,90,74
64,90,72
65,89,74
65,90,66
72,91,67
67,90,72
67,86,62
70,84,68
66,82,72
69,84,70
74,85,66
70,86,71
68,90,68
64,88,68
68,86,67
70,86,71
64,90,70
66,88,75
70,86,74
68,86,75
67,88,66
62,86,72
62,88,70
66,81,72
67,82,75
67,80,80
78,86,78
68,84,76
70,82,74
65,84,72
70,82,75
68,84,73
70,86,77
68,84,78
68,83,76
70,85,65
61,86,70
68,84,74
68,84,79
66,84,82
66,84,86
68,86,84
64,83,70
64,82,74
64,82,84
66,84,78
72,86,72
68,83,78
68,86,82
67,85,82
70,83,78
68,85,81
67,86,72
68,86,74
64,86,78
64,88,84
64,86,82
64,86,79
70,82,70
65,87,70
68,84,74
67,85,75
68,84,76
70,86,76
70,85,76
68,86,80
68,84,82
68,84,81
66,86,81
68,88,82
66,87,78
68,87,82
64,87,83
66,84,84
64,85,86
62,86,84
60,86,84
68,84,88
68,86,86
68,88,83
68,86,82
68,86,81
67,86,80
65,86,81
68,85,82
68,86,83
68,88,82
68,86,84
66,88,80
66,86,83
66,86,77
68,88,80
66,85,81
72,84,82
68,86,83
68,87,75
66,84,73
66,84,78
66,84,78
67,84,80
64,85,80
64,86,79
65,86,83
64,85,82
60,86,84
66,84,84
73,84,82
66,84,81
66,84,81
66,86,80
66,84,73
64,82,76
65,82,72
64,83,74
63,85,76
65,86,73
68,87,77
70,84,76
70,83,70
67,82,66
65,80,68
65,82,66
64,80,68
70,84,72
75,82,76
75,84,78
70,84,79
63,84,81
64,85,78
62,84,70
62,84,66
62,86,73
58,82,74
65,84,78
60,82,74
64,82,79
68,84,71
68,84,70
64,84,70
61,86,65
72,86,64
62,84,64
60,84,62
66,86,61
65,86,62
65,80,64
62,82,64
60,85,70
64,84,70
64,84,72
63,84,66
60,86,61
57,84,65
65,84,60
66,82,56
64,84,66
64,84,65
64,84,54
66,82,60
64,82,52
58,82,58
58,84,57
57,84,52
58,82,56
60,82,56
58,84,60
63,86,59
62,86,52
64,82,50
62,83,52
62,84,50
63,84,48
65,84,58
59,84,56
58,87,57
62,86,60
56,86,54
52,84,55
56,84,52
60,85,50
58,85,58
56,86,54
50,85,58
54,85,51
48,84,35
49,84,42
52,86,46
54,84,52
56,82,53
51,82,52
52,80,46
50,81,52
54,82,54
52,81,51
48,83,52
54,80,55
48,81,54
48,80,46
58,82,47
60,80,50
60,80,48
50,80,44
52,80,43
54,81,48
58,82,48
60,82,44
52,78,42
44,78,44
43,79,48
44,82,50
45,84,50
55,85,52
50,86,56
50,84,56
48,83,48
45,84,46
45,86,44
45,84,54
48,78,42
50,76,40
50,76,44
48,80,44
